,graph,statistic,value
0,school,$|V|$,69.0
1,school,$|E|$,194.0
2,school,$\hat{k}$,6.0
3,school,$\hat{o}$,2.0
4,school,$\hat{c}$,0.48286069807808935
5,school,\shortstack[l]{normalized \\ cut},0.28044039949116045
6,school,\shortstack[l]{internal \\ edge \\density},0.1047787452199217
7,school,significance,464.3310123216511
8,school,\shortstack[l]{avarage \\ internal \\degree},4.281766381766381
9,school,\shortstack[l]{modularity \\ density},1.3517914018555044
10,karate,$|V|$,34.0
11,karate,$|E|$,78.0
12,karate,$\hat{k}$,2.0
13,karate,$\hat{o}$,0.0
14,karate,$\hat{c}$,0.5706384782076824
15,karate,\shortstack[l]{normalized \\ cut},0.23037280701754387
16,karate,\shortstack[l]{internal \\ edge \\density},0.06296977124183006
17,karate,significance,100.78052119656817
18,karate,\shortstack[l]{avarage \\ internal \\degree},4.006944444444445
19,karate,\shortstack[l]{modularity \\ density},0.4039351851851851
20,adj,$|V|$,112.0
21,adj,$|E|$,425.0
22,adj,$\hat{k}$,2.0
23,adj,$\hat{o}$,0.0
24,adj,$\hat{c}$,0.1728400798103679
25,adj,\shortstack[l]{normalized \\ cut},1.0502941360427083
26,adj,\shortstack[l]{internal \\ edge \\density},0.009174761344915097
27,adj,significance,179.84345776467052
28,adj,\shortstack[l]{avarage \\ internal \\degree},2.07088122605364
29,adj,\shortstack[l]{modularity \\ density},-0.12378219149258916
30,foolball,$|V|$,115.0
31,foolball,$|E|$,613.0
32,foolball,$\hat{k}$,11.0
33,foolball,$\hat{o}$,8.0
34,foolball,$\hat{c}$,0.40321601104209814
35,foolball,\shortstack[l]{normalized \\ cut},0.4831405800998908
36,foolball,\shortstack[l]{internal \\ edge \\density},0.0907810627624869
37,foolball,significance,2148.9841688044685
38,foolball,\shortstack[l]{avarage \\ internal \\degree},5.792233145251722
39,foolball,\shortstack[l]{modularity \\ density},0.9825308666962824
40,poolbooks,$|V|$,105.0
41,poolbooks,$|E|$,441.0
42,poolbooks,$\hat{k}$,3.0
43,poolbooks,$\hat{o}$,0.0
44,poolbooks,$\hat{c}$,0.4875267912317314
45,poolbooks,\shortstack[l]{normalized \\ cut},0.40764363941317255
46,poolbooks,\shortstack[l]{internal \\ edge \\density},0.0392102629614193
47,poolbooks,significance,992.9398824055262
48,poolbooks,\shortstack[l]{avarage \\ internal \\degree},5.653027823240588
49,poolbooks,\shortstack[l]{modularity \\ density},0.0647928082121553
50,lattice8x8,$|V|$,64.0
51,lattice8x8,$|E|$,112.0
52,lattice8x8,$\hat{k}$,4.0
53,lattice8x8,$\hat{o}$,0.0
54,lattice8x8,$\hat{c}$,0.0
